WebsiteUrl,Dimension,Sessions,Range
https://www.banking.gov.tw,ga:mobilePageSessions,95,today
https://www.feb.gov.tw,ga:tabletPageSessions,1,today
https://www.sfb.gov.tw,ga:desktopPageSessions,2,30daysAgo
https://www.ib.gov.tw,ga:desktopPageSessions,1,7daysAgo
https://www.nmp.gov.tw/index.php,ga:desktopPageSessions,1,today
https://iyouth.youthhub.tw,ga:desktopPageSessions,671,30daysAgo
https://khh.travel,ga:mobilePageSessions,621,30daysAgo
https://gcis.nat.gov.tw/mainNew/,ga:tabletPageSessions,18,30daysAgo
https://phorh.phhcc.gov.tw/,ga:desktopPageSessions,210,7daysAgo
https://www.phlm.nat.gov.tw/,ga:mobilePageSessions,194,7daysAgo
http://www.naer.edu.tw,ga:tabletPageSessions,6,7daysAgo
https://www.most.gov.tw,ga:desktopPageSessions,16,today
http://www.lceb.gov.tw,ga:mobilePageSessions,13,today
https://tour.taitung.gov.tw,ga:desktopPageSessions,94306,30daysAgo
https://www.kinmen.gov.tw,ga:mobilePageSessions,342221,30daysAgo
http://culture.tainan.gov.tw,ga:tabletPageSessions,2301,30daysAgo
http://www.motcmpb.gov.tw/,ga:desktopPageSessions,28608,7daysAgo
http://longcare.hcshb.gov.tw,ga:mobilePageSessions,94657,7daysAgo
https://1950.tycg.gov.tw,ga:tabletPageSessions,691,7daysAgo
https://ppp.mof.gov.tw/PPP.Website/,ga:desktopPageSessions,1813,today
http://lvr.land.moi.gov.tw/N11/homePage.action,ga:mobilePageSessions,4998,today
http://www.hpa.gov.tw,ga:tabletPageSessions,45,today
http://www.mohw.gov.tw,ga:desktopPageSessions,5959,30daysAgo
https://liquor.ttl.com.tw,ga:mobilePageSessions,27620,30daysAgo
https://www.tfri.gov.tw,ga:tabletPageSessions,271,30daysAgo
httpS://rural.swcb.gov.tw,ga:desktopPageSessions,1624,7daysAgo
https://ruralyoung.swcb.gov.tw/,ga:mobilePageSessions,7027,7daysAgo
https://www.yda.gov.tw/,ga:tabletPageSessions,62,7daysAgo
http://health99.hpa.gov.tw/,ga:desktopPageSessions,119,today
https://www.kcg.gov.tw,ga:mobilePageSessions,572,today
http://dict.mini.moe.edu.tw,ga:tabletPageSessions,4,today
https://lcss.epa.gov.tw,ga:desktopPageSessions,11959,30daysAgo
http://www.wda.gov.tw,ga:mobilePageSessions,20791,30daysAgo
http://publicart.taipei,ga:tabletPageSessions,333,30daysAgo
https://travel.taipei,ga:desktopPageSessions,3351,7daysAgo
https://travel.taichung.gov.tw/,ga:mobilePageSessions,4763,7daysAgo
http://gap.afa.gov.tw/,ga:tabletPageSessions,70,7daysAgo
https://sab.tycg.gov.tw,ga:desktopPageSessions,153,today
https://legal.tycg.gov.tw,ga:mobilePageSessions,256,today
https://urdb.tycg.gov.tw,ga:tabletPageSessions,12,today
https://agriculture.tycg.gov.tw,ga:desktopPageSessions,14844,30daysAgo
https://csed.tycg.gov.tw/,ga:mobilePageSessions,30295,30daysAgo
https://wrb.tycg.gov.tw,ga:tabletPageSessions,845,30daysAgo
https://news.tycg.gov.tw,ga:desktopPageSessions,3758,7daysAgo
https://edb.tycg.gov.tw,ga:mobilePageSessions,7844,7daysAgo
https://animal.tycg.gov.tw,ga:tabletPageSessions,221,7daysAgo
https://pwb.tycg.gov.tw,ga:desktopPageSessions,225,today
https://cab.tycg.gov.tw,ga:mobilePageSessions,446,today
https://personnel.tycg.gov.tw/,ga:tabletPageSessions,15,today
https://dbas.tycg.gov.tw,ga:desktopPageSessions,9436,30daysAgo
https://rdo.tycg.gov.tw,ga:mobilePageSessions,5910,30daysAgo
https://lhrb.tycg.gov.tw,ga:tabletPageSessions,121,30daysAgo
https://doit.tycg.gov.tw,ga:desktopPageSessions,3014,7daysAgo
https://family.tycg.gov.tw/,ga:mobilePageSessions,1804,7daysAgo
https://fb.tycg.gov.tw,ga:tabletPageSessions,56,7daysAgo
https://www.scenic.tycg.gov.tw/,ga:desktopPageSessions,220,today
https://www.hakka.tycg.gov.tw,ga:mobilePageSessions,102,today
https://confucius.tycg.gov.tw,ga:tabletPageSessions,2,today
https://gab.tycg.gov.tw,ga:desktopPageSessions,1,30daysAgo
https://ipb.tycg.gov.tw,ga:desktopPageSessions,45498,30daysAgo
https://gpwd.mnd.gov.tw/,ga:mobilePageSessions,41217,30daysAgo
https://dict.revised.moe.edu.tw,ga:tabletPageSessions,2422,30daysAgo
https://www.yatsen.gov.tw,ga:desktopPageSessions,12971,7daysAgo
https://dict.concised.moe.edu.tw,ga:mobilePageSessions,9324,7daysAgo
https://thcdc.hakka.gov.tw,ga:tabletPageSessions,564,7daysAgo
https://www.arte.gov.tw/,ga:desktopPageSessions,791,today
https://www.fnpc.gov.tw,ga:mobilePageSessions,553,today
https://www.ntpc.gov.tw,ga:tabletPageSessions,26,today
https://www.ncpb.gov.tw,ga:desktopPageSessions,1287,30daysAgo
http://www.ndc.gov.tw,ga:mobilePageSessions,188,30daysAgo
https://www.blf.gov.tw,ga:tabletPageSessions,7,30daysAgo
https://www.tesri.gov.tw,ga:desktopPageSessions,791,7daysAgo
https://npm.cpami.gov.tw/,ga:mobilePageSessions,306,7daysAgo
https://conservation.forest.gov.tw/,ga:tabletPageSessions,2,7daysAgo
https://www.cma.edu.tw,ga:desktopPageSessions,56,today
http://921emt.nmns.edu.tw/,ga:mobilePageSessions,26,today
http://www.fa.gov.tw,ga:tabletPageSessions,1,today
http://www.fia.gov.tw,ga:desktopPageSessions,2248,30daysAgo
http://tour.klcg.gov.tw,ga:mobilePageSessions,557,30daysAgo
https://ibaby.mohw.gov.tw/,ga:tabletPageSessions,51,30daysAgo
https://www.aftygh.gov.tw,ga:desktopPageSessions,678,7daysAgo
http://web.customs.gov.tw,ga:mobilePageSessions,162,7daysAgo
http://ekaohsiung.customs.gov.tw,ga:tabletPageSessions,16,7daysAgo
https://web.customs.gov.tw/Dog/,ga:desktopPageSessions,41,today
http://portal.sw.nat.gov.tw,ga:mobilePageSessions,7,today
http://eweb.customs.gov.tw/,ga:desktopPageSessions,140,30daysAgo
http://ekeelung.customs.gov.tw/,ga:mobilePageSessions,89,30daysAgo
